Party,Adults_In_Party,Children_In_Party,Double_Twin,Requires_Accessible_Room,Additional_Requests,Request_Satisfaction_Score,Room,Adults,Children,Features
Krishtopaittis,1,0,Double,false,,100,201,2,0,"Near to lift, Double"
Sumers,2,0,Double,false,,100,201,2,0,"Near to lift, Double"
Krishtopaittis,1,0,Double,false,,100,203,2,1,Double
O'Hare,1,1,Double,false,,100,203,2,1,Double
Sumers,2,0,Double,false,,100,203,2,1,Double
Guisler,1,0,Twin,false,"Bath, High Floor, NOT Near to lift",100,405,2,0,"High Floor, Bath, Twin"
Aarons,2,0,Twin,false,Bath,100,405,2,0,"High Floor, Bath, Twin"
Londer,1,0,Twin,false,"High Floor, NOT Near to lift",100,405,2,0,"High Floor, Bath, Twin"
Lansdale,1,0,Twin,false,High Floor,100,405,2,0,"High Floor, Bath, Twin"
Fallens,1,0,Twin,false,,100,405,2,0,"High Floor, Bath, Twin"
Jeannel,1,0,Twin,false,"High Floor, NOT Near to lift",100,405,2,0,"High Floor, Bath, Twin"
Marusik,1,0,Twin,false,"Bath, High Floor",100,405,2,0,"High Floor, Bath, Twin"
Gubbins,2,0,Twin,false,"Bath, High Floor",100,405,2,0,"High Floor, Bath, Twin"
Cullum,2,0,Twin,false,,100,405,2,0,"High Floor, Bath, Twin"
Krishtopaittis,1,0,Double,false,,100,104,2,0,"Accessible, Double"
Fearby,2,0,Double,true,,100,104,2,0,"Accessible, Double"
Sumers,2,0,Double,false,,100,104,2,0,"Accessible, Double"
Norcutt,2,0,Double,true,NOT Near to lift,100,104,2,0,"Accessible, Double"
Iczokvitz,2,0,Double,true,Bath,0,104,2,0,"Accessible, Double"
Aarons,2,0,Twin,false,Bath,100,401,2,0,"High Floor, Bath, Near to lift, Twin"
Lansdale,1,0,Twin,false,High Floor,100,401,2,0,"High Floor, Bath, Near to lift, Twin"
Fallens,1,0,Twin,false,,100,401,2,0,"High Floor, Bath, Near to lift, Twin"
Marusik,1,0,Twin,false,"Bath, High Floor",100,401,2,0,"High Floor, Bath, Near to lift, Twin"
Gubbins,2,0,Twin,false,"Bath, High Floor",100,401,2,0,"High Floor, Bath, Near to lift, Twin"
Cullum,2,0,Twin,false,,100,401,2,0,"High Floor, Bath, Near to lift, Twin"
Fallens,1,0,Twin,false,,100,301,2,0,"Near to lift, Twin"
Cullum,2,0,Twin,false,,100,301,2,0,"Near to lift, Twin"
Krishtopaittis,1,0,Double,false,,100,305,2,0,Double
Sumers,2,0,Double,false,,100,305,2,0,Double
Krishtopaittis,1,0,Double,false,,100,504,2,1,"High Floor, Bath, Double"
O'Hare,1,1,Double,false,,100,504,2,1,"High Floor, Bath, Double"
Rozzier,2,0,Double,false,Bath,100,504,2,1,"High Floor, Bath, Double"
Ghiriardelli,2,0,Double,false,Bath,100,504,2,1,"High Floor, Bath, Double"
Saph,2,1,Double,false,"Bath, NOT Near to lift",100,504,2,1,"High Floor, Bath, Double"
Henriquet,2,1,Double,false,"Bath, High Floor",100,504,2,1,"High Floor, Bath, Double"
