schedule_date,emp_id,full_name,first_name,last_name,scheduled
2022-01-01,1,Brooke Spurgeon,Brooke,Spurgeon,false
2022-01-01,8,Nikola Baszkiewicz,Nikola,Baszkiewicz,false
2022-01-01,4,Micheil Manklow,Micheil,Manklow,false
2022-01-01,6,Graig Colvin,Graig,Colvin,false
2022-01-01,9,Chet Fitzharris,Chet,Fitzharris,false
2022-01-01,2,Curtis Utterson,Curtis,Utterson,false
2022-01-01,7,Jennilee Brimson,Jennilee,Brimson,false
2022-01-01,5,Burtie Connar,Burtie,Connar,false
2022-01-01,3,Maressa Dearell,Maressa,Dearell,false
2022-01-01,10,Aile Antonazzi,Aile,Antonazzi,false
2022-01-02,2,Curtis Utterson,Curtis,Utterson,false
2022-01-02,7,Jennilee Brimson,Jennilee,Brimson,false
2022-01-02,6,Graig Colvin,Graig,Colvin,false
2022-01-02,1,Brooke Spurgeon,Brooke,Spurgeon,false
2022-01-02,8,Nikola Baszkiewicz,Nikola,Baszkiewicz,false
2022-01-02,9,Chet Fitzharris,Chet,Fitzharris,false
2022-01-02,10,Aile Antonazzi,Aile,Antonazzi,false
2022-01-02,4,Micheil Manklow,Micheil,Manklow,false
2022-01-02,5,Burtie Connar,Burtie,Connar,false
2022-01-02,3,Maressa Dearell,Maressa,Dearell,false
2022-01-03,9,Chet Fitzharris,Chet,Fitzharris,false
2022-01-03,2,Curtis Utterson,Curtis,Utterson,false
2022-01-03,4,Micheil Manklow,Micheil,Manklow,false
2022-01-03,3,Maressa Dearell,Maressa,Dearell,false
2022-01-03,7,Jennilee Brimson,Jennilee,Brimson,false
2022-01-03,8,Nikola Baszkiewicz,Nikola,Baszkiewicz,false
2022-01-03,5,Burtie Connar,Burtie,Connar,false
2022-01-03,1,Brooke Spurgeon,Brooke,Spurgeon,false
2022-01-03,10,Aile Antonazzi,Aile,Antonazzi,false
2022-01-03,6,Graig Colvin,Graig,Colvin,false
2022-01-04,6,Graig Colvin,Graig,Colvin,false
2022-01-04,8,Nikola Baszkiewicz,Nikola,Baszkiewicz,false
2022-01-04,4,Micheil Manklow,Micheil,Manklow,false
2022-01-04,2,Curtis Utterson,Curtis,Utterson,false
2022-01-04,10,Aile Antonazzi,Aile,Antonazzi,false
2022-01-04,3,Maressa Dearell,Maressa,Dearell,false
2022-01-04,7,Jennilee Brimson,Jennilee,Brimson,false
2022-01-04,1,Brooke Spurgeon,Brooke,Spurgeon,false
2022-01-04,9,Chet Fitzharris,Chet,Fitzharris,false
2022-01-04,5,Burtie Connar,Burtie,Connar,false
2022-01-05,9,Chet Fitzharris,Chet,Fitzharris,false
2022-01-05,8,Nikola Baszkiewicz,Nikola,Baszkiewicz,false
2022-01-05,2,Curtis Utterson,Curtis,Utterson,false
2022-01-05,4,Micheil Manklow,Micheil,Manklow,false
2022-01-05,7,Jennilee Brimson,Jennilee,Brimson,false
2022-01-05,5,Burtie Connar,Burtie,Connar,false
2022-01-05,6,Graig Colvin,Graig,Colvin,false
2022-01-05,1,Brooke Spurgeon,Brooke,Spurgeon,false
2022-01-05,3,Maressa Dearell,Maressa,Dearell,false
2022-01-05,10,Aile Antonazzi,Aile,Antonazzi,false
