Id,Username,LastName,FirstName,Name,CompanyName,Division,Department,Title,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Email,EmailPreferencesAutoBcc,EmailPreferencesAutoBccStayInTouch,EmailPreferencesStayInTouchReminder,SenderEmail,SenderName,Signature,StayInTouchSubject,StayInTouchSignature,StayInTouchNote,Phone,Fax,MobilePhone,Alias,CommunityNickname,BadgeText,IsActive,TimeZoneSidKey,UserRoleId,LocaleSidKey,ReceivesInfoEmails,ReceivesAdminInfoEmails,EmailEncodingKey,ProfileId,UserType,LanguageLocaleKey,EmployeeNumber,DelegatedApproverId,ManagerId,LastLoginDate,CreatedById,LastModifiedById,SystemModstamp,NumberOfFailedLogins,OfflineTrialExpirationDate,OfflinePdaTrialExpirationDate,UserPermissionsMarketingUser,UserPermissionsOfflineUser,UserPermissionsCallCenterAutoLogin,UserPermissionsSFContentUser,UserPermissionsKnowledgeUser,UserPermissionsInteractionUser,UserPermissionsSupportUser,UserPermissionsJigsawProspectingUser,UserPermissionsSiteforceContributorUser,UserPermissionsSiteforcePublisherUser,UserPermissionsWorkDotComUserFeature,ForecastEnabled,UserPreferencesActivityRemindersPopup,UserPreferencesEventRemindersCheckboxDefault,UserPreferencesTaskRemindersCheckboxDefault,UserPreferencesReminderSoundOff,UserPreferencesDisableAllFeedsEmail,UserPreferencesDisableFollowersEmail,UserPreferencesDisableProfilePostEmail,UserPreferencesDisableChangeCommentEmail,UserPreferencesDisableLaterCommentEmail,UserPreferencesDisProfPostCommentEmail,UserPreferencesContentNoEmail,UserPreferencesContentEmailAsAndWhen,UserPreferencesApexPagesDeveloperMode,UserPreferencesReceiveNoNotificationsAsApprover,UserPreferencesReceiveNotificationsAsDelegatedApprover,UserPreferencesHideCSNGetChatterMobileTask,UserPreferencesDisableMentionsPostEmail,UserPreferencesDisMentionsCommentEmail,UserPreferencesHideCSNDesktopTask,UserPreferencesHideChatterOnboardingSplash,UserPreferencesHideSecondChatterOnboardingSplash,UserPreferencesDisCommentAfterLikeEmail,UserPreferencesDisableLikeEmail,UserPreferencesSortFeedByComment,UserPreferencesDisableMessageEmail,UserPreferencesHideLegacyRetirementModal,UserPreferencesJigsawListUser,UserPreferencesDisableBookmarkEmail,UserPreferencesDisableSharePostEmail,UserPreferencesEnableAutoSubForFeeds,UserPreferencesDisableFileShareNotificationsForApi,UserPreferencesShowTitleToExternalUsers,UserPreferencesShowManagerToExternalUsers,UserPreferencesShowEmailToExternalUsers,UserPreferencesShowWorkPhoneToExternalUsers,UserPreferencesShowMobilePhoneToExternalUsers,UserPreferencesShowFaxToExternalUsers,UserPreferencesShowStreetAddressToExternalUsers,UserPreferencesShowCityToExternalUsers,UserPreferencesShowStateToExternalUsers,UserPreferencesShowPostalCodeToExternalUsers,UserPreferencesShowCountryToExternalUsers,UserPreferencesShowProfilePicToGuestUsers,UserPreferencesShowTitleToGuestUsers,UserPreferencesShowCityToGuestUsers,UserPreferencesShowStateToGuestUsers,UserPreferencesShowPostalCodeToGuestUsers,UserPreferencesShowCountryToGuestUsers,UserPreferencesShowForecastingChangeSignals,UserPreferencesHideS1BrowserUI,UserPreferencesDisableEndorsementEmail,UserPreferencesPathAssistantCollapsed,UserPreferencesCacheDiagnostics,UserPreferencesShowEmailToGuestUsers,UserPreferencesShowManagerToGuestUsers,UserPreferencesShowWorkPhoneToGuestUsers,UserPreferencesShowMobilePhoneToGuestUsers,UserPreferencesShowFaxToGuestUsers,UserPreferencesShowStreetAddressToGuestUsers,UserPreferencesLightningExperiencePreferred,UserPreferencesPreviewLightning,UserPreferencesHideEndUserOnboardingAssistantModal,UserPreferencesHideLightningMigrationModal,UserPreferencesHideSfxWelcomeMat,UserPreferencesHideBiggerPhotoCallout,UserPreferencesGlobalNavBarWTShown,UserPreferencesGlobalNavGridMenuWTShown,UserPreferencesCreateLEXAppsWTShown,UserPreferencesFavoritesWTShown,UserPreferencesRecordHomeSectionCollapseWTShown,UserPreferencesRecordHomeReservedWTShown,UserPreferencesFavoritesShowTopFavorites,UserPreferencesExcludeMailAppAttachments,UserPreferencesSuppressTaskSFXReminders,UserPreferencesSuppressEventSFXReminders,UserPreferencesPreviewCustomTheme,UserPreferencesHasCelebrationBadge,UserPreferencesUserDebugModePref,UserPreferencesSRHOverrideActivities,UserPreferencesNewLightningReportRunPageEnabled,UserPreferencesReverseOpenActivitiesView,UserPreferencesHasSentWarningEmail,UserPreferencesNativeEmailClient,ContactId,AccountId,CallCenterId,Extension,FederationIdentifier,AboutMe,FullPhotoUrl,SmallPhotoUrl,IsExtIndicatorVisible,OutOfOfficeMessage,MediumPhotoUrl,DigestFrequency,DefaultGroupNotificationFrequency,JigsawImportLimitOverride,LastViewedDate,LastReferencedDate,BannerPhotoUrl,SmallBannerPhotoUrl,MediumBannerPhotoUrl,IsProfilePhotoActive,IndividualId
0058d000004QHarAAG,chatty.00d8d0000060vc7eae.hxrcg8pl9mif@chatter.salesforce.com,Chatter Expert,,Chatter Expert,New Company Name,,,,,,,,xx,,,,noreply@chatter.salesforce.com,true,false,true,,,,,,,,,,Chatter,Chatter Expert,,true,Europe/Dublin,,en_IE_EURO,false,false,UTF-8,00e8d00000229hiAAA,CsnOnly,en_US,,,,,0058d000004B2qYAAS,0058d000004B2qYAAS,2022-01-09T08:22:00.000Z,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,"I’m here to help you get started with Chatter. I’ll introduce you to features, create sample posts, and suggest tips and best practices.",,,,,,,,,,,,,,,
0058d000004QHaBAAW,integration@00d8d0000060vc7eae.com,User,Integration,Integration User,New Company Name,,,,,,,,xx,,,,noreply@example.com,true,false,true,,Salesforce Analytics,,,,,,,,integ,integration1.4406246972348486E12,,true,Europe/Dublin,,en_IE_EURO,false,false,UTF-8,00e8d00000229heAAA,Standard,en_US,,,,2022-01-09T13:48:00.000Z,0058d000004B2qYAAS,0058d000004QHaCAAW,2022-01-09T08:22:00.000Z,0,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,https://til71-dev-ed.file.force.com/profilephoto/005/F,https://til71-dev-ed.file.force.com/profilephoto/005/T,false,,https://til71-dev-ed.file.force.com/profilephoto/005/M,N,false,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,false,
0058d000004QHaDAAW,insightssecurity@00d8d0000060vc7eae.com,User,Security,Security User,New Company Name,,,,,,,,xx,,,,noreply@example.com,true,false,true,,Salesforce Analytics,,,,,,,,sec,insightssecurity1.4406246905195972E12,,true,Europe/Dublin,,en_IE_EURO,false,false,UTF-8,00e8d00000229hfAAA,Standard,en_US,,,,,0058d000004B2qYAAS,0058d000004QHaCAAW,2022-01-09T08:22:00.000Z,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,https://til71-dev-ed.file.force.com/profilephoto/005/F,https://til71-dev-ed.file.force.com/profilephoto/005/T,false,,https://til71-dev-ed.file.force.com/profilephoto/005/M,N,false,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,false,
0058d000004QHaCAAW,autoproc@00d8d0000060vc7eae,Process,Automated,Automated Process,New Company Name,,,,,,,,xx,,,,autoproc@00d8d0000060vc7eae,true,false,true,,,,,,,,,,autoproc,automatedprocess,,true,Europe/Dublin,,en_IE_EURO,false,false,UTF-8,00e8d00000229haAAA,AutomatedProcess,en_US,,,,,0058d000004QHaEAAW,0058d000004QHaEAAW,2022-01-09T08:21:00.000Z,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,https://til71-dev-ed.file.force.com/profilephoto/005/F,https://til71-dev-ed.file.force.com/profilephoto/005/T,false,,https://til71-dev-ed.file.force.com/profilephoto/005/M,D,false,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,false,
0058d000004QHaFAAW,automatedclean@00d8d0000060vc7eae,Data.com Clean,,Data.com Clean,New Company Name,,,,,,,,xx,,,,automatedclean@00d8d0000060vc7eae,true,false,true,,,,,,,,,,autocln,User16132161575462564890,,true,Europe/Dublin,,en_IE_EURO,false,false,UTF-8,00e8d00000229haAAA,AutomatedProcess,en_US,,,,,0058d000004QHaEAAW,0058d000004QHaEAAW,2022-01-09T08:21:00.000Z,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,https://til71-dev-ed.file.force.com/profilephoto/005/F,https://til71-dev-ed.file.force.com/profilephoto/005/T,false,,https://til71-dev-ed.file.force.com/profilephoto/005/M,N,false,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,false,
0058d000004QHawAAG,cloud@00d8d0000060vc7eae,Platform Integration User,,Platform Integration User,New Company Name,,,,,,,,xx,,,,noreply@00d8d0000060vc7eae,true,false,true,,,,,,,,,,platint,cloud1.544726271485212E12,,true,Europe/Dublin,,en_IE_EURO,false,false,UTF-8,00e8d00000229hkAAA,CloudIntegrationUser,en_US,,,,,0058d000004QHaEAAW,0058d000004QHaEAAW,2022-01-09T08:21:00.000Z,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,https://til71-dev-ed.file.force.com/profilephoto/005/F,https://til71-dev-ed.file.force.com/profilephoto/005/T,false,,https://til71-dev-ed.file.force.com/profilephoto/005/M,N,false,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,false,
0058d000004B2qYAAS,lorna@ds32.co.uk,Brown,Lorna,Lorna Brown,TIL,,,,,,,,GB,,,,lorna.brown@theinformationlab.co.uk,true,false,true,,,,,,,,,,LBrow,lorna,,true,Europe/London,00E8d000001ZFPREA4,en_GB,false,true,UTF-8,00e8d00000229hdAAA,Standard,en_US,,,,2022-06-09T13:23:00.000Z,0058d000004B2qYAAS,0058d000004B2qYAAS,2022-01-09T08:34:00.000Z,0,,,true,true,false,true,false,false,true,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,https://til71-dev-ed.file.force.com/profilephoto/005/F,https://til71-dev-ed.file.force.com/profilephoto/005/T,false,,https://til71-dev-ed.file.force.com/profilephoto/005/M,D,false,300,2022-01-09T15:10:00.000Z,2022-01-09T15:10:00.000Z,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,false,
0058d000004QHaGAAW,admin.njcyof3eld4g@example.com,Admin,Event,Event Admin,New Company Name,,,,,,,,xx,,,,rjenkins@example.com,true,false,true,,,,,,,,,,eadmi,User16052089232593512822,,false,Europe/Dublin,00E8d000001ZFPREA4,en_IE_EURO,false,true,UTF-8,00e8d00000229hbAAA,Standard,en_US,,,,,0058d000004B2qYAAS,0058d000004B2qYAAS,2022-01-09T08:21:00.000Z,0,,,false,true,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,https://til71-dev-ed.file.force.com/profilephoto/005/F,https://til71-dev-ed.file.force.com/profilephoto/005/T,false,,https://til71-dev-ed.file.force.com/profilephoto/005/M,D,false,300,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,false,
0058d000004QHaYAAW,trailhead20.eevf7sztfdqu@example.com,Chavez,Julie,Julie Chavez,New Company Name,,,,,,,,xx,,,,kim.chouard@example.com,true,false,true,,,,,,,,,,juliecha,julie.chaver,,true,Europe/Dublin,00E8d000001ZFPSEA4,en_IE_EURO,false,true,UTF-8,00e8d00000229hgAAA,Standard,en_US,,,,,0058d000004B2qYAAS,0058d000004QHaYAAW,2022-01-09T08:22:00.000Z,0,,,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,https://til71-dev-ed.file.force.com/profilephoto/005/F,https://til71-dev-ed.file.force.com/profilephoto/005/T,false,,https://til71-dev-ed.file.force.com/profilephoto/005/M,D,false,300,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,false,
0058d000004QHaZAAW,trailhead12.tkvqwt7lmieg.pzyfuhibeyrn@example.com,Garza,Laura,Laura Garza,New Company Name,,,,,,,,xx,,,,luciyer@example.com,true,false,true,,,,,,,,,,lgarz,trailhead12,,true,Europe/Dublin,00E8d000001ZFPTEA4,en_IE_EURO,false,true,UTF-8,00e8d00000229hgAAA,Standard,en_US,,,,,0058d000004B2qYAAS,0058d000004B2qYAAS,2022-01-09T08:22:00.000Z,0,,,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,https://til71-dev-ed.file.force.com/profilephoto/005/F,https://til71-dev-ed.file.force.com/profilephoto/005/T,false,,https://til71-dev-ed.file.force.com/profilephoto/005/M,D,false,300,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,false,
